,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,review,menu_item,type,city
209,1,0,3.7,124,46,20,285,290,750,3586,5004,2,1
210,1,1,4.1,775,1,20,3573,1382,800,6332,5004,2,1
211,1,1,4.2,2022,30,20,4970,1412,1000,8083,5004,2,1
212,1,1,4.2,150,1,13,2857,460,600,426,1374,2,1
213,1,0,4.0,232,4,20,3367,1192,750,7400,5004,2,1
214,1,1,3.5,431,30,20,2144,1152,800,6884,5004,2,1
215,1,1,4.2,2115,1,20,3847,1477,800,500,5004,2,1
216,1,0,3.8,155,30,20,3675,1593,450,9191,5004,2,1
217,1,1,4.1,666,30,21,38,49,1000,9637,5004,2,1
218,1,0,3.9,240,4,13,2119,330,700,6170,5004,2,1
219,1,0,3.8,918,1,16,1385,482,800,2108,5004,2,1
220,1,0,4.0,465,30,20,781,1593,600,7438,2701,2,1
221,1,1,4.1,970,30,54,1519,1309,1500,2749,5004,2,1
222,1,0,3.3,128,1,62,2565,1192,300,13916,5004,2,1
223,1,0,3.6,241,46,62,2948,1192,300,922,5004,2,1
224,1,0,4.3,734,1,62,3413,1593,200,8707,3136,2,1
225,1,0,3.8,130,30,62,295,1177,400,7027,5004,2,1
226,1,0,4.2,261,30,13,4449,387,700,5075,5004,2,1
227,1,0,4.0,191,46,62,257,1594,300,13911,122,2,1
228,1,0,4.1,364,4,20,2728,1562,550,8686,125,2,1
229,1,0,3.9,888,1,20,4642,1430,750,7974,2694,2,1
230,1,0,3.9,750,4,20,1704,1273,500,9456,3325,2,1
231,1,1,4.2,164,1,13,1703,378,500,5072,5004,2,1
232,1,0,3.8,527,4,20,2700,1152,500,13353,5004,2,1
233,0,0,4.3,345,1,30,2310,952,400,2086,5004,3,1
234,0,0,4.4,356,1,69,1853,1112,150,11752,5004,3,1
235,1,0,3.9,38,1,30,2109,945,150,2456,1799,3,1
236,1,0,3.9,116,1,30,4434,955,400,5765,2615,3,1
237,1,0,3.8,918,1,16,1385,482,800,2107,5004,3,1
238,1,0,3.8,144,1,13,3569,531,700,2462,5004,3,1
239,1,0,4.3,860,1,30,3103,787,500,7631,5004,3,1
240,0,0,3.8,45,1,72,1757,173,400,13153,5004,3,1
241,1,0,3.9,70,1,30,5043,844,400,8718,5004,3,1
242,0,0,4.0,98,4,70,3073,1119,400,9288,5004,3,1
243,1,0,4.0,219,4,13,3798,453,600,5789,4769,3,1
244,1,0,4.0,73,4,0,2638,192,300,11069,2993,3,1
245,1,0,2.7,97,4,20,2705,1593,400,4058,5004,3,1
246,1,0,3.9,888,1,20,4642,1430,750,7974,2693,4,1
