,book_table,votes,location,rest_type,dish_liked,cuisines,cost,review,rate
317,0,290,1,62,1095,1211,450,2420,3.0
318,0,59,1,62,3459,1447,200,672,3.7
319,0,130,1,62,1705,1543,200,2109,3.7
320,0,80,1,62,4135,1666,250,2202,3.5
321,0,441,1,62,257,1588,400,10477,3.9
322,0,84,1,62,1644,1585,250,3322,3.6
323,0,42,1,62,920,1611,300,5183,4.0
324,0,213,1,62,3133,1424,400,1114,3.0
325,0,725,30,62,3010,1548,350,8806,4.2
326,0,750,4,20,1704,1273,500,9454,3.9
327,0,166,4,20,3382,1402,600,9698,3.8
328,0,4460,4,62,2030,1543,150,13404,4.4
329,0,153,4,20,1774,1543,350,10365,3.9
330,0,469,4,20,2776,1204,750,8598,3.8
331,0,364,4,20,2728,1562,550,8685,4.1
332,0,286,4,20,3263,1152,600,3251,3.8
333,0,527,4,20,2700,1152,500,13353,3.8
334,0,101,4,62,4702,1543,150,9374,3.9
335,0,558,4,62,246,1543,150,8453,4.1
336,0,148,4,22,3507,1190,550,12788,3.8
337,0,377,4,57,4825,1288,1100,8216,2.7
338,0,206,4,62,1005,1581,450,10232,3.9
339,0,100,4,62,1713,1585,300,5843,3.9
340,0,444,4,62,4703,1543,100,2132,4.2
341,0,133,4,20,1266,975,650,3899,3.9
342,0,219,4,13,3798,453,600,5788,4.0
343,0,253,4,62,2467,1543,250,9692,4.2
344,0,61,4,20,2996,308,600,3641,3.7
345,0,155,54,20,3686,1571,400,9030,3.8
346,0,233,30,20,1724,1003,800,8829,3.9
347,0,264,54,20,2440,1208,750,1600,3.7
348,0,238,4,62,2763,1543,600,7606,4.1
349,0,176,4,20,448,67,800,11794,4.1
350,0,93,4,62,2793,1624,200,894,3.7
351,0,124,4,62,2787,1570,300,7662,3.8
352,0,275,4,62,2471,1543,100,11088,4.3
353,0,254,4,62,2765,1543,150,5449,4.2
354,0,177,4,62,2016,1543,100,8679,4.1
355,0,132,4,62,4481,815,200,8735,4.0
356,0,74,4,62,1651,1585,300,6819,3.8
